192.168.1.10, -, 15/09/2021, 20:31:00, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /, -
127.0.0.1, zyng, 15/09/2021, 20:35:56, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/css/jAlert/jAlert.css, -
127.0.0.1, zyng, 15/09/2021, 20:35:56, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/bootstrap/js/bootstrap.bundle.min.js, -
127.0.0.1, zyng, 15/09/2021, 20:35:56, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/jquery/jquery.min.js, -
127.0.0.1, zyng, 15/09/2021, 20:35:56, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/jquery-easing/jquery.easing.min.js, -
127.0.0.1, zyng, 15/09/2021, 20:35:56, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/datatables/jquery.dataTables.min.js, -
127.0.0.1, zyng, 15/09/2021, 20:35:56, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/datatables/dataTables.bootstrap4.min.js, -
127.0.0.1, zyng, 15/09/2021, 20:35:56, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/js/sb-admin-2.min.js, -
127.0.0.1, zyng, 15/09/2021, 20:35:56, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/js/jAlert/jAlert.min.js, -
127.0.0.1, zyng, 15/09/2021, 20:35:56, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/js/jAlert/jAlert-functions.min.js, -
127.0.0.1, zyng, 15/09/2021, 20:35:56, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/img/loading.gif, -
127.0.0.1, zyng, 15/09/2021, 20:35:57, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /get_catalog, -
127.0.0.1, -, 15/09/2021, 20:36:19, Flask, SERVER, ZHIYUAN-PC, -, -, -, 302, 0, GET, /logout, -
127.0.0.1, -, 15/09/2021, 20:36:19, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /login/, -
127.0.0.1, -, 15/09/2021, 20:36:19, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/fontawesome-free/css/all.min.css, -
127.0.0.1, -, 15/09/2021, 20:36:19, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/font/GSans.css, -
127.0.0.1, -, 15/09/2021, 20:36:19, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/css/jAlert/jAlert.css, -
127.0.0.1, -, 15/09/2021, 20:36:19, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/css/customcss.css, -
127.0.0.1, -, 15/09/2021, 20:36:19, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/jquery/jquery.min.js, -
127.0.0.1, -, 15/09/2021, 20:36:19, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/css/sb-admin-2.min.css, -
127.0.0.1, -, 15/09/2021, 20:36:19, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/jquery-easing/jquery.easing.min.js, -

127.0.0.1, -, 15/09/2021, 20:36:19, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/datatables/jquery.dataTables.min.js, -
127.0.0.1, -, 15/09/2021, 20:36:19, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/js/sb-admin-2.min.js, -
127.0.0.1, -, 15/09/2021, 20:36:19, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/vendor/datatables/dataTables.bootstrap4.min.js, -
127.0.0.1, -, 15/09/2021, 20:36:19, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/js/jAlert/jAlert.min.js, -
127.0.0.1, -, 15/09/2021, 20:36:19, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/js/jAlert/jAlert-functions.min.js, -
127.0.0.1, -, 15/09/2021, 20:36:19, Flask, SERVER, ZHIYUAN-PC, -, -, -, 200, 0, GET, /static/img/login_bg.jpg, -
